Band,Lyrics,Song
Elijah Levi,"You'd be so nice to come home to
You'd be so nice by the fire
While the breeze on high, sang a lullaby
You'd be all my heart could desire

Under stars chilled by the winter
Under an August moon shining above
You'd be so nice, you'd be paradise
To come home to and love

Under stars chilled by the winter
Under an August moon burning above
You'd be so nice, you'd be paradise
To come home to and love",You'd Be So Nice to Come Home To
Elijah Wyman,"Keep the lights down low.
Silhouettes bring confidence and peace to me.
I'll only tell you what you'd know
From a careful glance or a greeting by chance,
Less I lose the romance
Of an altogether admirable man.

I have fashioned a marble image
Of everything I'd like you to see.
Without the things I hate about me.

This is all that I am.
I am all that I am.
If I accept this, I am free,
In mind, In body.

So don?t ask; I won't tell.
Just read the insert of the c.d. in the player
Because the player's got it figured out,
With all the hype and the hooks but the facts left.

I have fashioned a marble image
Of everything I'd like you to see.
Without the things I hate about me.",Silhouettes
Elin Lanto,"I watch the leaves fall to the ground
Suddenly we belled the sun
I carry on the season down
As time's sarander then to now
They said nothings go chemister
But hope will fade away
This is only that I can dream I know
When winter went go very spring We Know
And that's the life inside all me
This is all that I can dream

The sun will say I am moving rise
Now I did expord the simple lines
The stars brights before my eyes
Never mind it in my life
This is only that I can dream I know
When winter went to spring we know

And that's the life inside all me
This is all that I can dream

I close my eyes make a wish
What the way go heres from theres
All I need is a room and the time my through
Like a girl always in the green
And this is only that I can dream I know
When winter went to spring we know
And that's the life inside all me
This is all I can dream

This is only that I can dream I'll show
This is no one that it's heart can go
We ever faces is there hopely
This is only that I can dream",As Long as I Can Dream
Elin Sigvardsson,"I'll let it burn. 
Words in a dirty paper cup. 
And I'm gonna turn, cause I've had it with this place for now. 
I'm gonna find shelter where you can't call me, where you can't grab me. 

If I got to choose, had the opportunity to switch location or set my mind on whatever I wanted to,
I would take it right away from you.

You brought me in and you spoke in tongues about what lies within. 
About your little fire. 
You brought me in and you didn't even see how my tears ran. 
I was too tired to listen to you then

Saturday night. 
You've got taste for fireside. 
It's open mike at kings head downtown, but I can't manage to get myself there somehow. 
A million reasons just to sit along here and speak to the telly and listen to your conversations

You brought me in and you spoke tongues about what lies within. 
About your little fire. 
You brought me in and you didn't even see how my tears ran. 
I was too tired to listen to you then. 

I'll let it burn, words in a broken paper cup.",Papercup Words
Elio e le Storie Tese,"Quando ero piccolo tutti mi sherzavano
Per le dimensioni del mio pene, ed io non stavo bene.
Soffrivo le pene per colpa del pene, ma più il problema non si pone:
Sì, perchè il pene mi dà il pane, son diventato un grande attore
E, benchè schiavo dell'amore, mi son comprato una moto.
E ora son schiavo della moto, non faccio più moto,
Infatti vado solo in moto,
Ma ora sono diventato un mito:
Ho rilanciato il film muto
Perchè sono muto,
E se vedrete il filmato sicuramente converrete con noi che questà è verità.
John Holmes, una vita per il cinema,
John Holmes, una vita per la moto.
John Holmes, una vita per il cinema,
John Holmes, una vita per la moto.
Trenta centimetri
Di dimensione artistica.
Su di ciò la critica è concorde
Nel ritenermi sudicio.
Perchè non hanno capito
Non parlo perchè son rapito,
E poi in faccia non son mai inquadrato
Però dal pubblico son venerato:
Ho rilanciato il film muto
Perchè sono muto
E se fossi stato ceco
Avrei lanciato il film ceco
E se fossi stato m
Avrei lanciato il filmmm.
Dicon che faccio film penosi
Perchè lavoro col pene.
E insomma il pene mi dà il pane, il pene mi da sì la moto
Ma la moto non da pene
Perchè funziona bene
Si si la moto non da pene
Perchè funziona bene
John Holmes, una vita per il cinema,
John Holmes, una vita per la moto
John Holmes, una vita per il cinema,
John Holmes, una vita per la moto.
",John Holmes (Una Vita Per il Cinema)
Elio e le Storie Tese,"When I was just a boy,
Everyone made fun of me,
Just because my penis was enormous,
My mom said it was gorgeous.

I work in a circus because of my penis,
And everybody says: “No problem!”,
Because my penis makes my living,
Now I became a famous actor,
And even though I’m just a slave to love,
I bought myself a rasta Harley.

Now I’m a slave to my new Harley
I got it from Bob Marley,
It’s rasta ‘cause it was Bob Marley’s,
Sometimes I reggae with Ziggy Marley.

I will relaunch the silent movie
Because Bob told me that it’s groovie,
And if you see that forty jumps of that children
We will act like: this is fondamentally the truth.

John Holmes, life devoted to the cinema
John Holmes, life devoted to a Harley
John Holmes, life devoted to the cinema
John Holmes, life devoted to a Harley

Twelve inches, it’s one foot
Of artistic reality,
That is what attracted all the critics,
Not my acting ability,
Because they simply don’t get it,
I don’t speak ‘cause I eat spaghetti,
And so my face is normally off-screen,
All of the people still come to adore me,
And now they’ve made me into a big style.

I relaunched the silent movie,
Because I am silent,
And even if I had been born dumb,
I’d have relaunched the dumb movie,
And if I had been born XXX
I’d have relaunched the XXX movie
I am your fire and your Venus,
Because I’m acting with my penis,
And so my penis makes my living,
My penis is very forgiving,
All my Harleys don’t forgive me,
And I’m asking for forgiveness,
Yes yes my Harleys don’t forgive me,
And I’m asking for forgiveness.

John Holmes, life devoted to the cinema
John Holmes, life devoted to a Harley
John Holmes, life devoted to the cinema
John Holmes, life devoted to a Harley",John Holmes
Elio e le Storie Tese,"Parcheggi abusivi, applausi abusivi, villette abusive, abusi sessuali abusivi 
Tanta voglia di ricominciare, abusiva 

Appalti truccati, trapianti truccati, motorini truccati che scippano donne truccate
Il visagista delle dive è truccatissimo

Papaveri e papi, la donna cannolo, una lacrima sul visto 

Italia sì, Italia no
Italia sì, Italia no, Italia bum, la strage impunita 
Puoi dir di sì, puoi dir di no, ma questa è la vita
Prepariamoci un caffè, non rechiamoci al caffè
C'è un commando che ci aspetta per assassinarci un po'
 
Commando sì, commando no, commando omicida 
Commando pam, commando papapapapam, ma se c'è la partita 
Il commando non ci sta e allo stadio se ne va 
Sventolando il bandierone non più sangue scorrerà 
Infetto sì, infetto no, quintali di plasma
Primario sì, primario dai, primario fantasma

Io fantasma non sarò e al tuo plasma dico no
Se dimentichi le pinze fischiettando ti dirò
Ti devo una pinza
Ce l'ho nella panza 

Viva il crogiuolo di pinze 
Viva il crogiuolo di panze 
Quanti problemi irrisolti ma un cuore grande così

Italia sì, Italia no, Italia gnamme, se famo du spaghi 
Italia sob, Italia prot, la terra dei cachi
Una pizza in compagnia, una pizza da solo
Un totale di due pizze e l'Italia è questa qua

Fufafifì fufafifì, Italia evviva
Italia perfetta, perepepè nanananai
 
Una pizza in compagnia, una pizza da solo 
In totale molto pizzo, ma l'Italia non ci sta
Italia sì, Italia no, 
Italia sì, uè, Italia no 
Uè uè uè uè uè 

Perchè la terra dei cachi è la terra dei cachi",La Terra Dei Cachi
Eliot Zigmund,"I wish I knew someone like you could love me
I wish I knew you place no one above me
Did I mistake this for a real romance?
I wish I knew, but only you can answer.

If you don't care, why let me hop[e and pray so
Don't lead me on, if I'm a fool just say so,
Should I keep dreaming on, or just forget you?
What shall I do, I wish I knew",I Wish I Knew
Elis,"Dieses ist lange her.
Da ich deine schmalen Hande nahm
Dieses ist lange her.
Schlugst die runden Augen auf, 
Dieses ist lange her.

Am Abend, 
Wenn wir auf dunklen Pfaden gehn, 
Erscheinen unsere bleichen Gestalten. 

Wenn uns durstet, 
Trinken wir die weissen Wasser des Teichs, 
Die Susse unserer traurigen Kindheit. 

Estorbene
Ruhen wir unterm Gebusch, 
Schaun den grauen Mowen zu. 

Fruhlingsgewolke 
Streigen uber die Stadt,
Die der Monche edlere Zeiten schweigt. 

Doch wenn dunkler Wohllaut 
Die Seele heimsucht, 
Erscheinst do Weisse in des Freundes Landschaft. 

Dieses ist lange her.
Da ich deine schmalen Hande nahm
Dieses ist lange her.
Schlugst die runden Augen auf, 
Dieses ist lange her.",Abendlied
Elis,"[bonus track]

Betrayal, you betrayed me
You betrayed me with a kiss
I thought you were my friend
Now I hate you
So much
You betrayed me with a kiss
You never really cared
It turned out to be wrong
So wrong
Can you trust in your friend's words
Can he look into your eyes
Betrayal, you betrayed me
Discussing all the things with you
I told you all my secrets
You told it to the world
And laughed about it
I would have given anything
If you just asked me for
I was too good for you
Too good for you
Now I ask you
Why did it have to be like this
'Cause I miss you
Sometimes
Can you trust in your friend's words
Can he look into your eyes
Betrayal, you betrayed me
You betrayed me with a kiss
I thought you were my friend
Now I hate you
So much
Can you trust in your friend's words
Can he look into your eyes





",Betrayal
Elis,"A child is born
Out of the womb of a mother 
Who didn't want it 
It happened in a night
Of drunken passion and no thought 
About the consequence

Two bodies cling together 
Drunken loneliness 
Two bodies cling together 
Blind passion
Two bodies cling together 

And then it starts to grow
This little baby child 
This unwanted life 
Don't you know it has to prove 
During its whole life 
That it has a right to exist 

Two bodies cling together 
Mindless heat
Two bodies cling together 
Cruel lust
Two bodies cling together 

And then it starts to grow
This little baby child 
This unwanted life 
Don't you know it has to prove 
During its whole life 
That it has a right to exist 

A child is born
Out of the womb of a mother 
Who didn't want it 
It happened in a night
Of drunken passion and no thought 
About the consequence",Child
